Training model 1/3
Epoch:5/80 Batch:23/106 Train Loss:1.5232
Epoch:5/80 Batch:24/106 Train Loss:1.8162
Epoch:5/80 Batch:25/106 Train Loss:1.5438
Epoch:5/80 Batch:26/106 Train Loss:1.4586
Epoch:5/80 Batch:27/106 Train Loss:1.6189
Epoch:5/80 Batch:28/106 Train Loss:1.6143
Epoch:5/80 Batch:29/106 Train Loss:1.4336
Epoch:5/80 Batch:30/106 Train Loss:1.5705
Epoch:5/80 Batch:31/106 Train Loss:1.4861
Epoch:5/80 Batch:32/106 Train Loss:1.7226
Epoch:5/80 Batch:33/106 Train Loss:1.6211
Epoch:5/80 Batch:34/106 Train Loss:1.8214
Epoch:5/80 Batch:35/106 Train Loss:1.7226
Epoch:5/80 Batch:36/106 Train Loss:1.4228
Epoch:5/80 Batch:37/106 Train Loss:1.6078
Epoch:5/80 Batch:38/106 Train Loss:1.6695
Epoch:5/80 Batch:39/106 Train Loss:1.5845
Epoch:5/80 Batch:40/106 Train Loss:1.7157
Epoch:5/80 Batch:41/106 Train Loss:1.7546
Epoch:5/80 Batch:42/106 Train Loss:1.4369
Epoch:5/80 Batch:43/106 Train Loss:1.4898
Epoch:5/80 Batch:44/106 Train Loss:1.5440
Epoch:5/80 Batch:45/106 Train Loss:1.6534
Epoch:5/80 Batch:46/106 Train Loss:1.6841
Epoch:5/80 Batch:47/106 Train Loss:1.3753
Epoch:5/80 Batch:48/106 Train Loss:1.8782
Epoch:5/80 Batch:49/106 Train Loss:1.4681
Epoch:5/80 Batch:50/106 Train Loss:1.8742
Epoch:5/80 Batch:51/106 Train Loss:1.6054
Epoch:5/80 Batch:52/106 Train Loss:1.6855
Epoch:5/80 Batch:53/106 Train Loss:1.6166
Epoch:5/80 Batch:54/106 Train Loss:1.4140
Epoch:5/80 Batch:55/106 Train Loss:1.3977
Epoch:5/80 Batch:56/106 Train Loss:1.6697
Epoch:5/80 Batch:57/106 Train Loss:1.4155
Epoch:5/80 Batch:58/106 Train Loss:1.5437
Epoch:5/80 Batch:59/106 Train Loss:1.6160
Epoch:5/80 Batch:60/106 Train Loss:1.7023
Epoch:5/80 Batch:61/106 Train Loss:1.6377
Epoch:5/80 Batch:62/106 Train Loss:1.4939
Epoch:5/80 Batch:63/106 Train Loss:1.3620
Epoch:5/80 Batch:64/106 Train Loss:1.4272
Epoch:5/80 Batch:65/106 Train Loss:1.7360
Epoch:5/80 Batch:66/106 Train Loss:1.5013
Epoch:5/80 Batch:67/106 Train Loss:1.6669
Epoch:5/80 Batch:68/106 Train Loss:1.6367
Epoch:5/80 Batch:69/106 Train Loss:1.5162
Epoch:5/80 Batch:70/106 Train Loss:1.7101
Epoch:5/80 Batch:71/106 Train Loss:1.5921
Epoch:5/80 Batch:72/106 Train Loss:1.5346
Epoch:5/80 Batch:73/106 Train Loss:1.5481
